<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
starved,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,3.0,"According Adescam, 3 Congolese women, one of them pregnant, died of starvation after being expelled from Morocco and abandoned in a deserted area on the border with Algeria (Dec 30, 2011)",algeria,28.033886,1.659626,"28.033886, 1.659626",Unknown
frozen,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,3.0,"died of hypothermia, body found by the police along the shores of the Evros River (GR) (Dec 26, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,1.0,"One drowned in Ceuta, while trying to swim to the Spanish enclave in Morocco bypassing the border (Dec 24, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
suicide - other,suicide,4Q2011,2011 -- 12,2011.0,0.0,0.0,1.0,"presumed suicide in police cell in NL days before deportation, very unclear circumstances (Dec 21, 2011)",Netherland,55.57156,-4.410332,"55.57156, -4.410332",Unknown
asphyxiated,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,1.0,"Found on the roadside in Imola, the lifeless body of a young man died asphyxiated in the truck in which he was hiding in Greece to embark on a ferry to Italy. To abandon the corpse would have been a truck driver (Dec 20, 2011)",Imola,44.36,11.712429,"44.36, 11.712429",Unknown
lack of medical care,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,1.0,"died of meningitis hours after her admission to hospital from Aluche detention centre (E) (Dec 18, 2011)",aluche,40.385629,-3.76085,"40.385629, -3.76085",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,2.0,"Rescued 75 miles south of Malta a boat adrift with 44 passengers, who tell two died during the crossing (Dec 7, 2011)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
starved,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,1.0,"pregnant, died from drinking sea water, boat of 72 went adrift in Mediterranean for 16 days (Dec 3, 2011). From Del Grande's data set (translated): Rescued vessel in distress off the coast of Malta. A board was found the lifeless body of a girl of 29 years (Apr 12, 2011)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,2.0,"drowned, boat sank off Zarzis (TN) on way to Italy, 1 body found, 1 missing, 10 survivors (Dec 1, 2011). From Del Grande's data set (translated): Spills at sea off the coast of Zarzis boat with 12 passengers was shuttled from the mother ship ready to go to Lampedusa. A boy drowned and another is lost at sea (Feb 12, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
unknown,unknown - supposedly exhaustion related death,4Q2011,2011 -- 12,2011.0,0.0,0.0,4.0,"bodies found by patrol guards on a boat adrift near Sfax (TN) on way to Italy (Dec 1, 2011). From Del Grande's data set (translated): The bodies of four men were found on a finished boat adrift off the coast of Sfax on the route to Lampedusa (Feb 13, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"drowned, found in port of Ceuta (E) in advanced state of decomposition (Nov 27, 2011). From Del Grande's data set (translated): Found at the entrance of the port of Ceuta the lifeless body of a young boy drowned trying to swim to the Spanish enclave in Morocco (Nov 29, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,3.0,"bodies found in the south-eastern port of Brindisi (I) after a vessel sank off the nearby coast (Nov 26, 2011). From Del Grande's data set (translated): Salt the death toll of the sinking of Brindisi, after the discovery of a third body in the sea without life (Nov 27, 2011)",brindisi,40.632728,17.941762,"40.632728, 17.941762",Apulia and Calabria route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,53.0,"drowned, bodies found afer boat sank off Brindisi coasts (I) on the way from Turkey (Nov 25, 2011). From Del Grande's data set (translated): A sailing boat is shipwrecked off the coast brindisine after being stranded on the rocks. 2 bodies recovered, the missing and thirty, 39 survivors (Nov 26, 2011)",brindisi,40.632728,17.941762,"40.632728, 17.941762",Apulia and Calabria route
frozen,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"died of hypothermia, body found in a farming area in Thymaria, Alexandroupoli (GR) (Nov 23, 2011)",alexandroupoli,40.845719,25.873962,"40.845719, 25.873962",Eastern Mediterranean route
frozen,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"died of hypothermia, body found in the Peplos region, on banks of Evros River (GR) (Nov 23, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,3.0,"drowned, bodies found on Moroccan beach, part of group of 90 who tried to swim to Ceuta (Nov 22, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",4Q2011,2011 -- 11,2011.0,0.0,0.0,2.0,"died in accident, smugglers  car overturned as they tried to avoid a police road block (Nov 9, 2011)",Greece,39.074208,21.824312,"39.074208, 21.824312",Unknown
suicide - hanged,suicide,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"suicide, hanged himself in Parc de la Villette, Paris(F) when told he would be deported (Nov 4, 2011)",paris,48.856614,2.352222,"48.856614, 2.352222",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"body found in a drifting wooden boat off Malta s shore rescued patrol vessels (Nov 3, 2011)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,1.0,"Melilla found the lifeless body of a young man drowned trying to swim around the border (Nov 2, 2011)",melilla,35.292278,-2.938097,"35.292278, -2.938097",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 11,2011.0,0.0,0.0,35.0,"drowned; 5 found, 30 missing when TN coastguards rammed their boat, splitting it in two (Nov 1, 2011). From Del Grande's data set (translated): Collision at sea off the coast of Zarzis and on the route to Lampedusa, including a vessel with 120 passengers on board the corvette ""Liberte 302"" Navy Tunisia. 5 dead and 30 missing at sea. The survivors have accused marina deliberately rammed them (Feb 11, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"Found the lifeless body of a drowning man who died during the crossing of the Strait, off the coast of Motril, Granada (Oct 31, 2011)",granada,37.177336,-3.598557,"37.177336, -3.598557",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,3.0,"Found the lifeless bodies of 3 boys drowned trying to swim around the border post Tarajal. The Moroccan authorities do not exclude others lost at sea (Oct 24, 2011)",tarajal,36.704636,-4.506699,"36.704636, -4.506699",Western Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"Disembark in Locri, Calabria, a vessel with 53 young Egyptians on board. Drowned a 16 year old boy (Oct 23, 2011)",calabria,39.308771,16.346379,"39.308771, 16.346379",Apulia and Calabria route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"Drown a twenty year old, fell into the sea while attempting to climb on the rocks along with the other 41 passengers landed at Seminara, in the province of Reggio Calabria (Oct 18, 2011)",calabria,39.308771,16.346379,"39.308771, 16.346379",Apulia and Calabria route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,5.0,"3 found dead off the coast of Calblanque and 2 off Calarreona and Punta Negrete, in the area of __Murcia, they are the 5 missing in a boat rescued a few days before (Oct 13, 2011)",punta,28.569022,-16.324539,"28.569022, -16.324539",Western African route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,2.0,"bodies found in the area of Petalo (GR), tried to cross the border TR-GR via the Evros River (Oct 11, 2011). From Del Grande's data set (translated): Sixteen falls into the water and drowned during a chase between a Greek patrol boat and the boat was traveling with other passengers along the Evros River at the border between Turkey and Greece (Dec 9, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,2.0,"Found the bodies of two boys drowned trying to swim across the Evros River at the border between Turkey and Greece (Oct 12, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"stowaway, fell out of a truck near Calais (F) was travelling to GB (Oct 4, 2011)",calais,50.95129,1.858686,"50.95129, 1.858686",Unknown
starved,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"died in prison near Misrata (LY) after boat left to drift for 16 days, SOS ignored by NATO (Oct 3, 2011)",misrata,32.374298,15.09492,"32.374298, 15.09492",Central Mediterranean Route
starved,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,1.0,"died from thirst and hunger on reaching land, boat drifted for 16 days, SOS ignored by NATO (Oct 3, 2011)",Lybia to Italy,33.81445,12.700195,"33.81445, 12.700195",Central Mediterranean Route
starved,drowning or exhaustion related death,4Q2011,2011 -- 10,2011.0,0.0,0.0,61.0,"died from thirst and hunger, boat drifted in Mediterranean for 16 days, SOS ignored by NATO (Oct 3, 2011)",Lybia to Italy,33.81445,12.700195,"33.81445, 12.700195",Central Mediterranean Route
fall,"violent accidental death (transport, blown in minefield...)",1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"failed asylum seeker, died after jumping from window during police check in Nicosia flat (CY) (Jan 30, 2011)",nicosia,35.166667,33.366667,"35.166667, 33.366667",Unknown
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"Emerges from the sea lifeless body of a man drowned during a shipwreck in the sea area between Morocco and Spain. The discovery was made in Estepona (Jan 26, 2011)",estepona,36.42985,-5.149141,"36.42985, -5.149141",Western Mediterranean route
starved,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"stopped breathing, very weak after 4 days wait at Strait of Gibraltar coast for MA-E dinghy  (Jan 22, 2011). From Del Grande's data set (translated): Boy dies of starvation, after four days spent in a forest on the Mediterranean coast of Morocco unnecessarily waiting for a boat that was ferrying across the sea, to Spain (Jan 24, 2011)",gibraltar,36.140751,-5.353585,"36.140751, -5.353585",Western Mediterranean route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"Found in Estepona, Malaga, the lifeless body of a young boy drowned in a crossing (Jan 22, 2011)",estepona,36.42985,-5.149141,"36.42985, -5.149141",Western Mediterranean route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"drowned, boat capsized near Metline (TN) during poor border control after Ben Ali abdication (Jan 17, 2011). From Del Grande's data set (translated): Intercepted by the Coast Guard off the coast of Algeria in Annaba on the route to Sardinia, passengers set fire to protest boat before plunging into the sea and get relief. But in the transaction disappear beneath the waves two boys lost at sea (Jan 18, 2011)",annaba,36.902859,7.755543,"36.902859, 7.755543",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,2.0,"drowned, set boat on fire and jumped to avoid border patrol in Annaba (DZ) on the way to I (Jan 16, 2011). From Del Grande's data set (translated): Shipwreck Metline in northern Tunisia, on the route to Pantelleria. Drowned Boy (Jan 18, 2011)",pantelleria,36.828221,11.940496,"36.828221, 11.940496",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,33.0,"missing, feared drowned when ship sank near Corfu (GR) on way to Italy, 230 survivors (Jan 15, 2011). From Del Grande's data set (translated): He died in the shooting of a Border Patrol Eritrean girl of twenty years with a group of fellow was trying to cross the border with Israel in Sinai (Jan 17, 2011)",corfu,39.611839,19.830605,"39.611839, 19.830605",Unknown
unknown,unknown - supposedly exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,11.0,"missing after they sailed from Sidi Lakhdar (DZ) in the direction of Spain on a makeshift boat (Jan 11, 2011). From Del Grande's data set (translated): Departing from Sidi Lakhdar, Mostaganem, Arzew are 11 boys from days lost at sea en route to Spain (Dec 5, 2011)",arzew,35.85,-0.316667,"35.85, -0.316667",Western Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"killed after a car chase in Evros (GR), involving Greek border police and FRONTEX officials (Jan 11, 2011)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
lack of medical care,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"found dead in his room at the Gerstungen asylum seekers centre (D) 10 days after he died  (Jan 9, 2011)",gerstungen,50.963579,10.067171,"50.963579, 10.067171",Unknown
murdered,malicious intent related death / manslaughter,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"murdered due to his religious after deportation from Sweden, his asylum claim was rejected (Jan 9, 2011)",sweden,60.128161,18.643501,"60.128161, 18.643501",Unknown
asphyxiated,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,25.0,"suffocated, travelling on boat with 275 survivors, SOS sent 35 miles from Lampedusa (I) (Jan 7, 2011). From Del Grande's data set (translated): Found on board a fishing vessel the lifeless bodies of 25 children died from asphyxiation in the engine room of the boat. Another passenger would have instead been thrown into the sea after a scuffle during the crossing (Aug 1, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
frozen,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"died of hypothermia trying to swim ashore with life jacket, body found off Ceuta s coast (E)  (Jan 6, 2011)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"unknown manner of death, died on the way from Libya to Malta body thrown overboard (Jan 5, 2011). From Del Grande's data set (translated): The passengers of a vessel rescued by the Maltese speak of a man who died of starvation during the journey and abandoned at sea (Jun 1, 2011)",malta,35.937496,14.375416,"35.937496, 14.375416",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,27.0,"drowned, reportedly from missing boat to Italy on 27/03. bodies found off Kerkenneh(TN) (Jan 3, 2011). From Del Grande's data set (translated): The bodies of 27 Tunisians, aged between 19 and 23 years, died in 2 wrecks of boats headed for Italy, on 13 and 27 March, were discovered in the last hours on the coast of the island of Kerkennah (Apr 1, 2011)",kerkennah,34.658056,11.068611,"34.658056, 11.068611",Central Mediterranean Route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,58.0,"drowned, bodies found on Tunisian beaches by coastguards  (Jan 3, 2011)",tunis,36.81881,10.16596,"36.81881, 10.16596",Central Mediterranean Route
burned,"violent accidental death (transport, blown in minefield...)",1Q2011,2011 -- 1,2011.0,0.0,0.0,3.0,"burned to death in a shack in Melilla (E) as they waited for a chance to cross to mainland (Jan 2, 2011)",melilla,35.292278,-2.938097,"35.292278, -2.938097",Western Mediterranean route
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,2.0,"drowned, bodies found in advanced state of decomposition near Lampedusa (I) (Jan 2, 2011)",lampedusa,35.508622,12.59292,"35.508622, 12.59292",Central Mediterranean Route
suicide - under train,suicide,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"suicide, laid under train in Gifhorn(D)in fear of deportation, lived 16yrs in D where he had son (Jan 2, 2011)",gifhorn,52.477116,10.549576,"52.477116, 10.549576",Unknown
shot by the police,authorities related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,"A dead man killed in the shooting of the Egyptian police at the border with Israel on Sinai (Jan 2, 2011)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,1Q2011,2011 -- 1,2011.0,0.0,0.0,1.0,died crossing the Oder/Neisse border. German police did not record the precise date.,Oder/Neisse border,52.825559,14.197083,"52.825559, 14.197083",Unknown
drowned,drowning or exhaustion related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,2.0,"drowned, suspected that boat capsized 6 days earlier, travelling from Turkey to Greece (Sep 30, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
fall,"violent accidental death (transport, blown in minefield...)",3Q2010,2010 -- 9,2010.0,0.0,0.0,1.0,"stowaway, travelling from Georgia, hurriedly jumped off truck near Foggia (I) and fell on head (Sep 20, 2010). From Del Grande's data set (translated): Three people are thrown from a truck Ukrainian 5 km from Foggia on the A14. One of these, a 22 year-old Eritrean, slams his head against the guardrail and dies instantly (Sep 21, 2010)",foggia,41.462198,15.54463,"41.462198, 15.54463",Unknown
lack of medical care,drowning or exhaustion related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,1.0,"heart attack, diabetic asylum seeker in Nicosia (CY), had a poor diet when welfare was cut (Sep 12, 2010)",nicosia,35.166667,33.366667,"35.166667, 33.366667",Unknown
shot by the police,authorities related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,1.0,"Yahya Ishaq Suleiman, 25, Sudanese, who was killed in the fire of the Egyptian police at the border with Israel in Sinai. So far this year, are already 32 migrants killed in this area (Sep 11, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
lack of medical care,drowning or exhaustion related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,1.0,"brain haemorrhage, fell 20ft while working without papers, left at Ceuta hospital gate (E)  (Sep 10, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
shot by the police,authorities related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,3.0,"He died in the shooting of the Egyptian police on the border with Israel in Sinai, an immigrant African (Sep 4, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,3Q2010,2010 -- 9,2010.0,0.0,0.0,3.0,"Recovered after eight days adrift vessel sailed from Al Hoceima and live in Andalucia. Found 34 of the 37 passengers on board. The three dead were abandoned at sea (Sep 4, 2010)",hoceima,35.249299,-3.937112,"35.249299, -3.937112",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,2.0,"bodies found by civil guard on Ceuta beach (E), in an advanced state of decomposition (Aug 30, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,2.0,"Sinking 50 miles off the coast of Sardinia. 1 body recovered, 1 missing at sea (Aug 29, 2010)",sardinia,40.120875,9.012893,"40.120875, 9.012893",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,2.0,"found off Ceuta s coast (E), believed to have fallen from boats several months ago (Aug 27, 2010)",ceuta,35.888384,-5.324636,"35.888384, -5.324636",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,37.0,"reportedly missing, boat from MA to E allegedly carrying 37 has gone missing  (Aug 26, 2010)",Marocco to Spain,35.964373,-5.196533,"35.964373, -5.196533",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,1.0,"body found by police on Jonic coast, Calabria (I), reportedly died whilst disembarking sailboat (Aug 24, 2010). From Del Grande's data set (translated): Landing in Calabria, Catanzaro. A group of passengers is forced by the captain to jump overboard, one man drowned, the body is recovered after a few hours (Aug 25, 2010)",calabria,39.308771,16.346379,"39.308771, 16.346379",Apulia and Calabria route
asphyxiated,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,1.0,"He died suffocated inside the truck in which he was hiding in the greek port of Patras to board a ferry line to Venice, bound for England. The corpse of Baiz Ebraim Pshadar is then abandoned by the driver and found by police on the A23 Udine-Tarvisio (Aug 16, 2010)",venice,45.440847,12.315515,"45.440847, 12.315515",Unknown
starved,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,6.0,"died of thirst in Algerian desert near Tamanrasset, with 9 others trying to reach Europe (Aug 14, 2010). From Del Grande's data set (translated): 12 dead dehydrated in the Algerian desert to the border with Mali, stranded in the Sahara after a mechanical failure of the truck they were traveling (Aug 16, 2010)",tamanrasset,22.785,5.522778,"22.785, 5.522778",Unknown
shot by the police,authorities related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,10.0,"Meeting the budget of the massacre of Eritreans in Sinai. According to police, in gunfire with the drivers have been killed at least 10 people dead and others may be dehydrated after fleeing into the wilderness (Aug 15, 2010)",sinai,30.153994,34.035645,"30.153994, 34.035645",Unknown
shot by the police,authorities related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,6.0,"Shooting on the border between Egypt and Israel at Sinai. 6 Eritreans were killed, two under-fire police, 4 shots under their carers (Aug 14, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,43.0,"missing, feared drowned on the way from El Bouni, Annaba (DZ) to Sardinia (I) by boat (Aug 8, 2010). From Del Grande's data set (translated): The family of 43 children of Annaba make complaints to the authorities about the disappearance of their children, started with the rough sea to Sardinia and disappeared into the sea. The boys would have boarded two boats by 19:24 seats, sailed from Oued-Bokrat (Seraidi) and Sidi-Salem (El Bouni) (Sep 8, 2010)",annaba,36.902859,7.755543,"36.902859, 7.755543",Central Mediterranean Route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,4.0,"drowned whilst travelling from Turkey to Greece on Evros River (GR) (Aug 5, 2010). From Del Grande's data set (translated): Found the lifeless body of a man drowned in the Evros River at the border between Turkey and Greece (Jun 9, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,1.0,"Landing in Calabria, found the lifeless body of a young Afghan on a beach of Catanzaro (Aug 4, 2010)",calabria,39.308771,16.346379,"39.308771, 16.346379",Apulia and Calabria route
starved,drowning or exhaustion related death,3Q2010,2010 -- 8,2010.0,0.0,0.0,1.0,"starvation, died 2days before mother, family got no social help after received asylum in GB (Aug 2, 2010)",Great Britain,55.378051,-3.435973,"55.378051, -3.435973",Unknown
shot by the police,authorities related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,2.0,"Two deaths in one week along the border between Egypt and Israel in the Sinai, both killed by Egyptian border police gunfire. There are already 21 people killed on the Sinai since the beginning of 2010 (Jul 29, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,2.0,"drowned during shipwreck off Ibiza Channel, bodies found off Javea coast (E) (Jul 27, 2010)",ibiza,39.02001,1.482148,"39.02001, 1.482148",Western Mediterranean route
suicide - jumped from building,suicide,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"suicide, jumped from balcony in Nottingham (GB), couldn t find solicitor for his asylum appeal (Jul 24, 2010)",nottingham,52.954783,-1.158109,"52.954783, -1.158109",Unknown
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"Landing in Calabria, Belcastro, 1 drowned (Jul 21, 2010)",calabria,39.308771,16.346379,"39.308771, 16.346379",Apulia and Calabria route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,2.0,"drowned, bodies found in the Evros region (GR) near to border with Turkey (Jul 11, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"stowaway, drowned whilst swimming from ship to shore at Pinedo beach, Valencia (E) (Jul 9, 2010)",valencia,39.469908,-0.376288,"39.469908, -0.376288",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"drowned during shipwreck off Ibiza Channel, body found on San Juan beach (E) (Jul 7, 2010)",ibiza,39.02001,1.482148,"39.02001, 1.482148",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"drowned during shipwreck off Ibiza Channel, body found 2 miles from Altea, Alicante (E) (Jul 7, 2010)",ibiza,39.02001,1.482148,"39.02001, 1.482148",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,0.0,0.0,2.0,"Found two more bodies in the Evros River at the border with Turkey. Rises to 18 The death toll of the tragedy of July 1 (Jul 7, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
lack of medical care,drowning or exhaustion related death,3Q2010,2010 -- 7,2010.0,1.0,0.0,1.0,"Sahro Barre Mohamed, 32 who had three-month pregnancy died in center for the asylum seekers in Leersum town of Utrecht province after she lacked urgent medical care.",Utrecht,52.091667,5.117778,"52.091667, 5.117778",Unknown
murdered,malicious intent related death / manslaughter,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"stabbed in canteen-queue fight in Sandholm Asylum Centre(DK) tension due to overcrowding (Jul 3, 2010)","sandholm, denmark",55.201389,11.401944,"55.201389, 11.401944",Unknown
suicide - hanged,suicide,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"suicide, asylum seeker, hanged himself in Hamburg deportation centre (D) after hunger strike (Jul 2, 2010)",hamburg,53.551085,9.993682,"53.551085, 9.993682",Unknown
suicide - jumped from building,suicide,3Q2010,2010 -- 7,2010.0,0.0,0.0,2.0,"suicide, jumped with his family from 15 floor flat in Glasgow (GB), asylum claim was rejected (Jul 2, 2010)",glasgow,55.864237,-4.251806,"55.864237, -4.251806",Unknown
suicide - jumped from building,suicide,3Q2010,2010 -- 7,2010.0,0.0,0.0,1.0,"suicide, jumped with her family from 15 floor flat in Glasgow (GB), asylum claim was rejected (Jul 2, 2010)",glasgow,55.864237,-4.251806,"55.864237, -4.251806",Unknown
drowned,drowning or exhaustion related death,2Q2010,2010 -- 6,2010.0,0.0,0.0,18.0,"Massacre in the Evros River at the border between Turkey and Greece. Found 16 dead bodies, including five women, drowned trying to swim across the river (Jul 1, 2010)",evros,41.244376,26.135943,"41.244376, 26.135943",Eastern Mediterranean route
shot by the police,authorities related death,2Q2010,2010 -- 6,2010.0,0.0,0.0,1.0,"A 38 year-old Eritrean woman killed by three bullets fired by Egyptian police at the border with Israel in Sinai. It is the nineteenth victim of 2010 (Jun 29, 2010)","Sinai, Egypt",24.088938,32.899829,"24.088938, 32.899829",Unknown
lack of medical care,drowning or exhaustion related death,2Q2010,2010 -- 6,2010.0,0.0,0.0,1.0,"pregnant asylum seeker in a Leersum asylum centre (NL)who was denied urgent medical care (Jun 26, 2010)","leersum, netherlands",52.012058,5.429548,"52.012058, 5.429548",Unknown
