location,event_year,route,causal,reason,value
Catania,2005,Central Mediterranean Route,drowning or exhaustion related death,drowned,24
Catania,2005,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,101
Catania,2006,Central Mediterranean Route,drowning or exhaustion related death,drowned,3
Catania,2006,Central Mediterranean Route,drowning or exhaustion related death,starved,1
Catania,2006,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,9
Catania,2007,Central Mediterranean Route,drowning or exhaustion related death,drowned,21
Catania,2007,Central Mediterranean Route,drowning or exhaustion related death,starved,1
Catania,2007,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,6
Catania,2008,Central Mediterranean Route,drowning or exhaustion related death,lack of medical care,2
Catania,2008,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,14
Catania,2009,Central Mediterranean Route,drowning or exhaustion related death,drowned,7
Catania,2009,Central Mediterranean Route,drowning or exhaustion related death,illness,1
Catania,2009,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,6
Catania,2011,Central Mediterranean Route,drowning or exhaustion related death,drowned,5
Catania,2012,Central Mediterranean Route,drowning or exhaustion related death,drowned,2
Catania,2013,Central Mediterranean Route,drowning or exhaustion related death,drowned,19
Catania,2015,Central Mediterranean Route,drowning or exhaustion related death,asphyxiated,49
Central Mediterranean,2015,Central Mediterranean Route,drowning or exhaustion related death,drowned,3
Chad,2013,Central Mediterranean Route,drowning or exhaustion related death,exhaustion,1
Crete,2004,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,26
Crete,2005,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,1
Crete,2005,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Crete,2006,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,7
Crete,2006,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,8
Crete,2007,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Crete,2011,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,38
Croatia,2000,Western Balkan Route,authorities related death,shot by the police,1
Croatia,2002,Western Balkan Route,drowning or exhaustion related death,drowned,8
Cyprus,2002,Eastern Mediterranean Route,authorities related death,shot by the police,1
Cyprus,2005,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,34
Dakar,2006,Western African Route,drowning or exhaustion related death,drowned,103
Dakar,2006,Western African Route,unknown - supposedly exhaustion related death,unknown,21
Dakar,2006,Western African Route,"violent accidental death (transport, blown in minefield, etc)",burned,4
Dakar,2007,Western African Route,unknown - supposedly exhaustion related death,unknown,41
Dakar,2009,Western African Route,drowning or exhaustion related death,drowned,4
Edko,2007,Central Mediterranean Route,drowning or exhaustion related death,drowned,8
Egypt,2004,Central Mediterranean Route,drowning or exhaustion related death,drowned,2
Egypt,2007,Central Mediterranean Route,drowning or exhaustion related death,drowned,58
Egypt,2011,Central Mediterranean Route,drowning or exhaustion related death,drowned,30
Egypt,2013,Central Mediterranean Route,drowning or exhaustion related death,drowned,34
Egypt,2013,Eastern Mediterranean Route,authorities related death,shot by the police,2
Egypt,2014,Central Mediterranean Route,drowning or exhaustion related death,drowned,15
Egypt,2014,Central Mediterranean Route,drowning or exhaustion related death,lack of medical care,1
Egypt,2015,Central Mediterranean Route,drowning or exhaustion related death,drowned,1
Egypt,2015,Central Mediterranean Route,drowning or exhaustion related death,drowned,8
Egypt,2015,Central Mediterranean Route,malicious intent related death / manslaughter,lack of medical care,1
Egypt,2015,Western Mediterranean Route,drowning or exhaustion related death,drowned,11
France,2006,Central Mediterranean Route,drowning or exhaustion related death,drowned,17
France,2009,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Gambia,2007,Western African Route,drowning or exhaustion related death,drowned,58
Germany,2015,Central European Route,"violent accidental death (transport, blown in minefield, etc)",burned,1
Germany,2015,Central European Route,"violent accidental death (transport, blown in minefield, etc)",intoxicated,1
Gibraltar,2000,Western Mediterranean Route,drowning or exhaustion related death,drowned,13
Gibraltar,2000,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,21
Gibraltar,2001,Western Mediterranean Route,drowning or exhaustion related death,drowned,1
Gibraltar,2004,Western Mediterranean Route,drowning or exhaustion related death,starved,12
Gibraltar,2005,Western Mediterranean Route,drowning or exhaustion related death,drowned,22
Gibraltar,2005,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Gibraltar,2007,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Gibraltar,2009,Western Mediterranean Route,drowning or exhaustion related death,frozen,2
Gibraltar,2009,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,2
Gibraltar,2010,Western Mediterranean Route,drowning or exhaustion related death,drowned,2
Gibraltar,2011,Western Mediterranean Route,drowning or exhaustion related death,starved,1
Gibraltar,2012,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,29
Gibraltar,2014,Western Mediterranean Route,drowning or exhaustion related death,drowned,9
Greece,2000,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,1
Greece,2000,Circular Route from Greece and Albania,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,3
Greece,2000,Eastern Borders Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,1
Greece,2000,Eastern Mediterranean Route,drowning or exhaustion related death,asphyxiated,2
Greece,2000,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,1
Greece,2000,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,8
Greece,2000,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,1
Greece,2000,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,11
Greece,2001,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,6
Greece,2001,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,6
Greece,2001,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,5
Greece,2002,Apulia and Calabria Route,drowning or exhaustion related death,asphyxiated,1
Greece,2002,Apulia and Calabria Route,unknown - supposedly exhaustion related death,unknown,2
Greece,2002,Apulia and Calabria Route,"violent accidental death (transport, blown in minefield, etc)",crushed,2
Greece,2002,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,12
Greece,2002,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,1
Greece,2002,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,7
Greece,2002,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,3
Greece,2003,Apulia and Calabria Route,drowning or exhaustion related death,hypothermia,6
Greece,2003,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,26
Greece,2003,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,14
Greece,2004,Eastern Mediterranean Route,drowning or exhaustion related death,drowned,24
Greece,2004,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,5
Greece,2004,Eastern Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
Greece,2004,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,13
Greece,2005,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",blown in minefield,8
Greece,2005,Eastern Mediterranean Route,"violent accidental death (transport, blown in minefield, etc)",car accident,1
